"id","name","description","name","description","price","image"
"4a22fe17-c4ac-4807-8e60-ab2e1fda109f",Alcoholic Drinks,"Cocktails, Spirits & Wines",Amrut Fusion,Single Malt (25ml / 50ml),8.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298608981_cocktails.png?alt=media&token=caa8a799-a3bd-4fac-ab97-58ae52ae4590
f8c05715-5c22-468b-8ba0-5104505cdcf2,Rice & Biryani,Rice & Biryani,Basmati Rice,Steamed rice.,4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298616449_biryani_rice_bowl.png?alt=media&token=8c1d11d7-0fe8-4bed-96da-f8de80e8fcb9
"073b4a22-9231-4d1b-a529-8be8a6d8997e",Beers,"Lagers, IPAs & Ciders",Bombay Bicycle IPA,"",4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298620606_beers.png?alt=media&token=e54252ff-7989-4973-8321-614417e881ce
bb788af2-24b4-41ba-a173-4a74eb1d144a,Beers,"Lagers, IPAs & Ciders",Bulmers Cider,"",6.49,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298623763_beers.png?alt=media&token=648d12fc-0f36-4242-ae2a-1e07213e1aaa
"245fed48-ebf7-4a7c-96a4-42da26f53c47",Roti & Naan,Roti & Naan,Butter Naan,Naan brushed with butter.,4.49,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298627140_naan_assortment.png?alt=media&token=ac26919d-e9ff-4f36-bcb6-adf52090e694
f4fe21ad-4250-4fb1-ab0a-0184a4938c39,Rice & Biryani,Rice & Biryani,Chicken Biryani,Aromatic basmati rice with chicken.,13.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298634111_biryani_rice_bowl.png?alt=media&token=0669dd06-c325-4f0d-a99e-f176131fc987
"833c1bac-5b65-426f-b078-c031a89477a0",Beers,"Lagers, IPAs & Ciders",Cobra Bottle (Big),"",6.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298644756_beers.png?alt=media&token=f3cbb929-663a-4229-a5f4-e9ac6c949849
"092cd57c-b1b1-44d2-b24e-a815f714952b",Beers,"Lagers, IPAs & Ciders",Corona,"330ml",3.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298648045_beers.png?alt=media&token=b5190f5d-c6b9-4a59-b75a-cfb90986b6b5
e93a1197-53ef-476c-93ad-b60c5c8f7989,Beers,"Lagers, IPAs & Ciders",Flavoured Cider,Ask server,5.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298664896_beers.png?alt=media&token=f512a570-e998-489c-9ac0-499e5103c29b
"5bd4fc4e-03a5-4709-a3b8-dcc24099d363",Alcoholic Drinks,"Cocktails, Spirits & Wines",Glenfiddich 15,(25ml / 50ml),7.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298669067_cocktails.png?alt=media&token=2994c64f-f579-48a1-aa43-5805cfa52498
